chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes,z_score
hu35ksuba,variance_global,blastomas,Brain/GBM,complexity,effrank_delta,0.32000000000000006,tumor_greater,permutation_available,0.67,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.06670402688906543
hu35ksuba,variance_global,blastomas,Brain/GBM,complexity,kappa_delta,-15.18,tumor_lower,permutation_available,0.67,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.6894263976418552
hu35ksuba,variance_global,blastomas,Brain/GBM,entropy,shannon_delta,0.322,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-0.5989701301705836
hu35ksuba,variance_global,blastomas,Brain/GBM,entropy,spectral_delta,0.254,tumor_greater,permutation_available,0.04,0.15,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-0.05844037928048237
hu35ksuba,variance_global,blastomas,Brain/GBM,latent,centroid_distance,26.573302833562675,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,0.10483232121819813
hu35ksuba,variance_global,blastomas,Brain/GBM,latent,latent_eig_entropy_delta,0.43779042506273425,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,0.06514354916885066
hu35ksuba,variance_global,blastomas,Brain/GBM,latent,latent_pr_delta,1.3101064058543206,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,0.34160645308040144
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,excess_spectral_mass_delta,-198.79821972566185,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.1503097102734856
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,largest_eigenvalue_fraction_delta,-0.004367290313128547,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,1.0721057824611946
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,participation_ratio_delta,1.2706799910415585,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.4921284965053589
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,spectral_entropy_delta,0.27742067719719987,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.5767440745643669
hu35ksuba,variance_global,blastomas,Brain/MB,complexity,effrank_delta,0.44000000000000017,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,0.32060967762809006
hu35ksuba,variance_global,blastomas,Brain/MB,complexity,kappa_delta,-5.29,tumor_lower,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.3556261166687181
hu35ksuba,variance_global,blastomas,Brain/MB,entropy,shannon_delta,0.324,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-0.5947540100614525
hu35ksuba,variance_global,blastomas,Brain/MB,entropy,spectral_delta,0.329,tumor_greater,permutation_available,0.15,0.25,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,0.27699547118146994
hu35ksuba,variance_global,blastomas,Brain/MB,latent,centroid_distance,33.63082454360858,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,1.028729706465479
hu35ksuba,variance_global,blastomas,Brain/MB,latent,latent_eig_entropy_delta,0.2875756887456935,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.3289920789112074
hu35ksuba,variance_global,blastomas,Brain/MB,latent,latent_pr_delta,0.8436079751323318,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.11277555135695017
hu35ksuba,variance_global,blastomas,Brain/MB,mp,excess_spectral_mass_delta,-100.10065899324695,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.6485430342997887
hu35ksuba,variance_global,blastomas,Brain/MB,mp,largest_eigenvalue_fraction_delta,-0.03685899728791803,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.8535956022100207
hu35ksuba,variance_global,blastomas,Brain/MB,mp,participation_ratio_delta,1.0886541178207638,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.5968942149189258
hu35ksuba,variance_global,blastomas,Brain/MB,mp,spectral_entropy_delta,0.2397475745133062,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.6711264975061999
hu35ksuba,variance_global,carcinomas,BLAD/TCC,complexity,effrank_delta,0.33000000000000007,tumor_greater,permutation_available,0.91,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.034427884845969134
hu35ksuba,variance_global,carcinomas,BLAD/TCC,complexity,kappa_delta,9.36,tumor_greater,permutation_available,0.91,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,0.13883031571312812
hu35ksuba,variance_global,carcinomas,BLAD/TCC,entropy,shannon_delta,0.657,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,0.10722998810890567
hu35ksuba,variance_global,carcinomas,BLAD/TCC,entropy,spectral_delta,0.263,tumor_greater,permutation_available,0.13,0.24375000000000002,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-0.01818807722504806
hu35ksuba,variance_global,carcinomas,BLAD/TCC,latent,centroid_distance,38.86635078543544,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,1.7141103831316364
hu35ksuba,variance_global,carcinomas,BLAD/TCC,latent,latent_eig_entropy_delta,0.09149530794372684,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.8434706576203523
hu35ksuba,variance_global,carcinomas,BLAD/TCC,latent,latent_pr_delta,0.03242986832782435,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.9028848204386877
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,excess_spectral_mass_delta,-89.88185356472945,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.7001283962727332
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,largest_eigenvalue_fraction_delta,-0.14430249626977776,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.1310266603086514
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,participation_ratio_delta,2.5728141812473684,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.25732003789230673
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,spectral_entropy_delta,0.5319098091598102,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.0608275395534155
hu35ksuba,variance_global,carcinomas,BR/BRAD,complexity,effrank_delta,1.15,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,2.612215762687924
hu35ksuba,variance_global,carcinomas,BR/BRAD,complexity,kappa_delta,-0.57,tumor_lower,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.1963200169525192
hu35ksuba,variance_global,carcinomas,BR/BRAD,entropy,shannon_delta,1.143,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,1.1317471746278065
hu35ksuba,variance_global,carcinomas,BR/BRAD,entropy,spectral_delta,0.781,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,2.2985555299655025
hu35ksuba,variance_global,carcinomas,BR/BRAD,latent,centroid_distance,35.51757903830364,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,1.2757239936769564
hu35ksuba,variance_global,carcinomas,BR/BRAD,latent,latent_eig_entropy_delta,0.6643009577915008,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,0.659465206768254
hu35ksuba,variance_global,carcinomas,BR/BRAD,latent,latent_pr_delta,1.225161795636758,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,0.25886812061255265
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,excess_spectral_mass_delta,-290.41014254247034,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.3121547365349639
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,largest_eigenvalue_fraction_delta,-0.34904614042408355,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-1.245896091830917
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,participation_ratio_delta,3.4419628407442926,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.7575620205797522
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,spectral_entropy_delta,1.0030917250200337,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,1.2412795781978339
hu35ksuba,variance_global,carcinomas,COL/COADREAD,complexity,effrank_delta,0.29000000000000004,tumor_greater,permutation_available,0.03,0.44999999999999996,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.16353245301835428
hu35ksuba,variance_global,carcinomas,COL/COADREAD,complexity,kappa_delta,-49.47,tumor_lower,permutation_available,0.03,0.44999999999999996,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-1.8467582110461902
hu35ksuba,variance_global,carcinomas,COL/COADREAD,entropy,shannon_delta,0,no_change,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-1.2777654677407198
hu35ksuba,variance_global,carcinomas,COL/COADREAD,entropy,spectral_delta,0.224,tumor_greater,permutation_available,0.07,0.19285714285714284,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-0.19261471946526326
hu35ksuba,variance_global,carcinomas,COL/COADREAD,latent,centroid_distance,25.23761229507801,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.07002240069486965
hu35ksuba,variance_global,carcinomas,COL/COADREAD,latent,latent_eig_entropy_delta,0.20096526056886277,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.5562417905221276
hu35ksuba,variance_global,carcinomas,COL/COADREAD,latent,latent_pr_delta,0.28044173719284515,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.6613145970946761
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,excess_spectral_mass_delta,-164.3719418368994,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.32409636456450763
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,largest_eigenvalue_fraction_delta,-0.0069355814676463345,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,1.0548337516766435
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,participation_ratio_delta,0.26928925966876793,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-1.06848293188665
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,spectral_entropy_delta,0.07741791048412638,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-1.0778109995755742
hu35ksuba,variance_global,carcinomas,KID/RCC,complexity,effrank_delta,0.5999999999999999,tumor_greater,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,0.8370279503176292
hu35ksuba,variance_global,carcinomas,KID/RCC,complexity,kappa_delta,-31.62,tumor_lower,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-1.244297643263531
hu35ksuba,variance_global,carcinomas,KID/RCC,entropy,shannon_delta,-0.125,tumor_lower,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-1.5412729745614246
hu35ksuba,variance_global,carcinomas,KID/RCC,entropy,spectral_delta,0.458,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,0.8539451339760279
hu35ksuba,variance_global,carcinomas,KID/RCC,latent,centroid_distance,17.16409086737303,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-1.1269239085112734
hu35ksuba,variance_global,carcinomas,KID/RCC,latent,latent_eig_entropy_delta,-0.06504743111835376,tumor_lower,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-1.254209792104367
hu35ksuba,variance_global,carcinomas,KID/RCC,latent,latent_pr_delta,-0.21424792979112528,tumor_lower,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-1.1431556230349749
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,excess_spectral_mass_delta,-30.603457235133646,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.9993705682886745
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,largest_eigenvalue_fraction_delta,-0.07736840491148067,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.5811655335601634
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,participation_ratio_delta,0.5420535885171915,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.9114923328923147
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,spectral_entropy_delta,-0.015612320281915837,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-1.3108796337205078
hu35ksuba,variance_global,carcinomas,LU/LUAD,complexity,effrank_delta,0.30999999999999983,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,-0.09898016893216242
hu35ksuba,variance_global,carcinomas,LU/LUAD,complexity,kappa_delta,8.18,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,0.09900379078407841
hu35ksuba,variance_global,carcinomas,LU/LUAD,entropy,shannon_delta,0.653,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,0.0987977478906431
hu35ksuba,variance_global,carcinomas,LU/LUAD,entropy,spectral_delta,0.229,tumor_greater,permutation_available,0.24,0.36,permutation,NA,NA,entropy_results.rds,entropy_engine,NA,-0.17025232943446644
hu35ksuba,variance_global,carcinomas,LU/LUAD,latent,centroid_distance,15.243724594175744,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-1.3783183003979542
hu35ksuba,variance_global,carcinomas,LU/LUAD,latent,latent_eig_entropy_delta,0.4353216822936152,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,0.05866602568659253
hu35ksuba,variance_global,carcinomas,LU/LUAD,latent,latent_pr_delta,0.8296518136375493,tumor_greater,structural_engine,NA,NA,NA,NA,NA,latent_comparison_metrics.csv,latent_engine,Latent geometry is produced by the Python latent structural engine.,-0.12636922759812463
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,excess_spectral_mass_delta,-277.515595958474,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.24706201530982302
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,largest_eigenvalue_fraction_delta,-0.187073914742296,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.15661567154174846
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,participation_ratio_delta,1.7899636429430075,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,-0.1932527164348756
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,spectral_entropy_delta,0.6116171231629561,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.,0.26051827076092743
hu35ksuba,variance_global,carcinomas,OV/OVAD,complexity,effrank_delta,0.6300000000000001,tumor_greater,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA,0.9338563764469188
