chip,filter_regime,group,comparison,engine,metric,value,direction,inference_status,p_value,p_fdr,resampling_method,n_resamples,runtime_sec,source_file,source_layer,notes
hu35ksuba,variance_global,blastomas,Brain/GBM,complexity,effrank_delta,0.32000000000000006,tumor_greater,permutation_available,0.67,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,complexity,kappa_delta,-15.18,tumor_lower,permutation_available,0.67,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,entropy,shannon_delta,0.322,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,entropy,spectral_delta,0.254,tumor_greater,permutation_available,0.04,0.15,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,excess_spectral_mass_delta,-198.79821972566185,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,largest_eigenvalue_fraction_delta,-0.004367290313128547,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,participation_ratio_delta,1.2706799910415585,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/GBM,mp,spectral_entropy_delta,0.27742067719719987,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,complexity,effrank_delta,0.44000000000000017,tumor_greater,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,complexity,kappa_delta,-5.29,tumor_lower,permutation_available,0.89,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,entropy,shannon_delta,0.324,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,entropy,spectral_delta,0.329,tumor_greater,permutation_available,0.15,0.25,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,blastomas,Brain/MB,mp,excess_spectral_mass_delta,-100.10065899324695,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,mp,largest_eigenvalue_fraction_delta,-0.03685899728791803,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,mp,participation_ratio_delta,1.0886541178207638,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,blastomas,Brain/MB,mp,spectral_entropy_delta,0.2397475745133062,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,complexity,effrank_delta,0.33000000000000007,tumor_greater,permutation_available,0.91,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,complexity,kappa_delta,9.36,tumor_greater,permutation_available,0.91,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,entropy,shannon_delta,0.657,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,entropy,spectral_delta,0.263,tumor_greater,permutation_available,0.13,0.24375000000000002,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,excess_spectral_mass_delta,-89.88185356472945,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,largest_eigenvalue_fraction_delta,-0.14430249626977776,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,participation_ratio_delta,2.5728141812473684,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BLAD/TCC,mp,spectral_entropy_delta,0.5319098091598102,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BR/BRAD,complexity,effrank_delta,1.15,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,BR/BRAD,complexity,kappa_delta,-0.57,tumor_lower,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,BR/BRAD,entropy,shannon_delta,1.143,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,BR/BRAD,entropy,spectral_delta,0.781,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,excess_spectral_mass_delta,-290.41014254247034,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,largest_eigenvalue_fraction_delta,-0.34904614042408355,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,participation_ratio_delta,3.4419628407442926,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,BR/BRAD,mp,spectral_entropy_delta,1.0030917250200337,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,COL/COADREAD,complexity,effrank_delta,0.29000000000000004,tumor_greater,permutation_available,0.03,0.44999999999999996,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,COL/COADREAD,complexity,kappa_delta,-49.47,tumor_lower,permutation_available,0.03,0.44999999999999996,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,COL/COADREAD,entropy,shannon_delta,0,no_change,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,COL/COADREAD,entropy,spectral_delta,0.224,tumor_greater,permutation_available,0.07,0.19285714285714284,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,excess_spectral_mass_delta,-164.3719418368994,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,largest_eigenvalue_fraction_delta,-0.0069355814676463345,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,participation_ratio_delta,0.26928925966876793,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,COL/COADREAD,mp,spectral_entropy_delta,0.07741791048412638,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,KID/RCC,complexity,effrank_delta,0.5999999999999999,tumor_greater,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,KID/RCC,complexity,kappa_delta,-31.62,tumor_lower,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,KID/RCC,entropy,shannon_delta,-0.125,tumor_lower,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,KID/RCC,entropy,spectral_delta,0.458,tumor_greater,permutation_available,0,0,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,excess_spectral_mass_delta,-30.603457235133646,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,largest_eigenvalue_fraction_delta,-0.07736840491148067,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,participation_ratio_delta,0.5420535885171915,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,KID/RCC,mp,spectral_entropy_delta,-0.015612320281915837,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,LU/LUAD,complexity,effrank_delta,0.30999999999999983,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,LU/LUAD,complexity,kappa_delta,8.18,tumor_greater,permutation_available,1,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,LU/LUAD,entropy,shannon_delta,0.653,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,LU/LUAD,entropy,spectral_delta,0.229,tumor_greater,permutation_available,0.24,0.36,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,excess_spectral_mass_delta,-277.515595958474,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,largest_eigenvalue_fraction_delta,-0.187073914742296,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,participation_ratio_delta,1.7899636429430075,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,LU/LUAD,mp,spectral_entropy_delta,0.6116171231629561,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,OV/OVAD,complexity,effrank_delta,0.6300000000000001,tumor_greater,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,OV/OVAD,complexity,kappa_delta,71.06,tumor_greater,permutation_available,0.14,0.7000000000000001,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,OV/OVAD,entropy,shannon_delta,1.462,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,OV/OVAD,entropy,spectral_delta,0.535,tumor_greater,permutation_available,0.09,0.19285714285714284,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,OV/OVAD,mp,excess_spectral_mass_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,OV/OVAD,mp,largest_eigenvalue_fraction_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,OV/OVAD,mp,participation_ratio_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,OV/OVAD,mp,spectral_entropy_delta,NA,NA,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PA/PAAD,complexity,effrank_delta,-0.1499999999999999,tumor_lower,permutation_available,0.43,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,PA/PAAD,complexity,kappa_delta,-28.22,tumor_lower,permutation_available,0.43,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,PA/PAAD,entropy,shannon_delta,-0.003,tumor_lower,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,PA/PAAD,entropy,spectral_delta,-0.105,tumor_lower,permutation_available,0.73,0.8423076923076922,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,PA/PAAD,mp,excess_spectral_mass_delta,196.31023227786523,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PA/PAAD,mp,largest_eigenvalue_fraction_delta,0.11721881364642794,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PA/PAAD,mp,participation_ratio_delta,-1.4673351970494188,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PA/PAAD,mp,spectral_entropy_delta,-0.15227582071078016,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PR/PRAD,complexity,effrank_delta,0.2699999999999998,tumor_greater,permutation_available,0.41,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,PR/PRAD,complexity,kappa_delta,14.24,tumor_greater,permutation_available,0.41,1,permutation,NA,NA,complexity_results.rds,complexity_engine,NA
hu35ksuba,variance_global,carcinomas,PR/PRAD,entropy,shannon_delta,0.152,tumor_greater,permutation_available,NA,NA,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,PR/PRAD,entropy,spectral_delta,0.221,tumor_greater,permutation_available,0.08,0.19285714285714284,permutation,NA,NA,entropy_results.rds,entropy_engine,NA
hu35ksuba,variance_global,carcinomas,PR/PRAD,mp,excess_spectral_mass_delta,-131.18500348449084,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PR/PRAD,mp,largest_eigenvalue_fraction_delta,-0.10362057738918279,tumor_lower,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PR/PRAD,mp,participation_ratio_delta,1.1415148905021333,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
hu35ksuba,variance_global,carcinomas,PR/PRAD,mp,spectral_entropy_delta,0.17333324661105132,tumor_greater,descriptive_only,NA,NA,NA,NA,NA,mp_spectral_results.rds,mp_engine,MP engine currently descriptive only; resampling placeholders are reserved for future architecture.
