source_file,analysis_scope,chip,group,comparison,filter_regime,engine,gene_set_mode,gene_set_name,matrix_key_normal,matrix_key_tumor,n_shared_probes,n_samples_normal,n_samples_tumor,n_features,kappa_normal,kappa_tumor,kappa_delta,direction,p_perm,ci_normal_low,ci_normal_high,ci_tumor_low,ci_tumor_high,effrank_normal,effrank_tumor,effrank_delta,sparsity_normal,sparsity_tumor,sparsity_delta,composite_kappa_normal,composite_kappa_tumor,composite_kappa_delta,status,p_perm_fdr
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BLAD/TCC,limma,complexity,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3259,7,11,3259,109.69,125.55,15.86,gained,0.87,NA,NA,NA,NA,1.46,1.55,0.09000000000000008,0,0,0,186.79,184.87,-1.9199999999999875,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BR/BRAD,limma,complexity,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,382,5,11,382,85.31,108.75,23.44,gained,0.99,NA,NA,NA,NA,1.47,2.24,0.7700000000000002,0,0,0,115.2,134.37,19.17,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,COL/COADREAD,limma,complexity,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,1129,11,11,1129,180.28,104.38,-75.9,lost,0.01,NA,NA,NA,NA,1.36,1.66,0.2999999999999998,0,0,0,445.75,145.43,-300.32,ok,0.13
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,KID/RCC,limma,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,330,12,11,330,189.69,164.79,-24.9,lost,0.4,NA,NA,NA,NA,1.3,1.52,0.21999999999999997,0,0,0,520.88,316.49,-204.39,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,OV/OVAD,limma,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,180,4,11,180,41.2,149.32,108.12,gained,0.26,NA,NA,NA,NA,1.67,1.74,0.07000000000000006,0,0,0,35.78,237.94,202.16,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PA/PAAD,limma,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,221,10,10,221,140.92,108.06,-32.86,lost,0.21,NA,NA,NA,NA,1.39,1.88,0.49,0,0,0,263,139.56,-123.44,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,UT/EAC,limma,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,386,6,10,386,86.75,119.71,32.96,gained,0.73,NA,NA,NA,NA,1.68,1.53,-0.1499999999999999,0,0,0,100.58,196.66,96.08,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/GBM,limma,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,848,8,10,848,132.32,107.66,-24.66,lost,0.67,NA,NA,NA,NA,1.37,1.59,0.21999999999999997,0,0,0,223.7,144.89,-78.81,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/MB,limma,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,828,8,10,828,128.38,112.84,-15.54,lost,0.72,NA,NA,NA,NA,1.5,1.73,0.22999999999999998,0,0,0,212.1,147.77,-64.32999999999998,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/FL,limma,complexity,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.Follicular.lymphoma,1953,6,11,1953,114.26,134.84,20.58,gained,0.97,NA,NA,NA,NA,1.26,1.49,0.22999999999999998,0,0,0,199.71,210.77,11.060000000000002,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/LBCL,limma,complexity,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.large.B.cell.lymphoma,1243,6,11,1243,104.03,133.2,29.17,gained,0.91,NA,NA,NA,NA,1.31,1.42,0.10999999999999988,0,0,0,154.72,202.45,47.72999999999999,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/B-ALL,limma,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,1353,5,10,1353,87.01,144.69,57.68,gained,0.55,NA,NA,NA,NA,1.39,1.38,-0.010000000000000009,0,0,0,134.54,253.57,119.03,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/T-ALL,limma,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,1600,5,10,1600,86.36,133.77,47.41,gained,0.72,NA,NA,NA,NA,1.41,1.34,-0.06999999999999984,0,0,0,130.93,242.26,111.32999999999998,ok,0.99
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BLAD/TCC,variance_comparison,complexity,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3000,7,11,3000,95.57,104.93,9.36,gained,0.91,NA,NA,NA,NA,1.65,1.98,0.33000000000000007,0,0,0,135.72,124.81,-10.909999999999997,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BR/BRAD,variance_comparison,complexity,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,3000,5,11,3000,92.98,92.41,-0.57,lost,1,NA,NA,NA,NA,1.6,2.75,1.15,0,0,0,132.36,98.19,-34.170000000000016,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,COL/COADREAD,variance_comparison,complexity,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,3000,11,11,3000,146.49,97.02,-49.47,lost,0.03,NA,NA,NA,NA,1.71,2,0.29000000000000004,0,0,0,249.81,119.55,-130.26,ok,0.44999999999999996
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,KID/RCC,variance_comparison,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,3000,12,11,3000,162.5,130.88,-31.62,lost,0.14,NA,NA,NA,NA,1.61,2.21,0.5999999999999999,0,0,0,296.51,183.75,-112.75999999999999,ok,0.7000000000000001
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,LU/LUAD,variance_comparison,complexity,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,3000,7,11,3000,94.72,102.9,8.18,gained,1,NA,NA,NA,NA,1.82,2.13,0.30999999999999983,0,0,0,118.06,126.27,8.209999999999994,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,OV/OVAD,variance_comparison,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,3000,4,11,3000,42.98,114.04,71.06,gained,0.14,NA,NA,NA,NA,1.41,2.04,0.6300000000000001,0,0,0,41.02,150.91,109.88999999999999,ok,0.7000000000000001
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PA/PAAD,variance_comparison,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,3000,10,10,3000,136.74,108.52,-28.22,lost,0.43,NA,NA,NA,NA,2.05,1.9,-0.1499999999999999,0,0,0,192.92,146.29,-46.629999999999995,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PR/PRAD,variance_comparison,complexity,FULL,FULL,m_Prostate.normal,m_Prostate.prostate.adenocarcinoma,3000,9,10,3000,104.68,118.92,14.24,gained,0.41,NA,NA,NA,NA,1.62,1.89,0.2699999999999998,0,0,0,139.33,165.21,25.879999999999995,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,UT/EAC,variance_comparison,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,3000,6,10,3000,78.03,94.83,16.8,gained,0.89,NA,NA,NA,NA,1.72,1.98,0.26,0,0,0,93.66,121.13,27.47,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/GBM,variance_comparison,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,3000,8,10,3000,100.75,85.57,-15.18,lost,0.67,NA,NA,NA,NA,1.7,2.02,0.32000000000000006,0,0,0,135.54,98.33,-37.209999999999994,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/MB,variance_comparison,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,3000,8,10,3000,101.16,95.87,-5.29,lost,0.89,NA,NA,NA,NA,1.72,2.16,0.44000000000000017,0,0,0,133.97,109.63,-24.340000000000003,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/FL,variance_comparison,complexity,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.Follicular.lymphoma,3000,6,11,3000,95.11,107.11,12,gained,0.99,NA,NA,NA,NA,1.35,1.82,0.47,0,0,0,141.13,140.24,-0.8899999999999864,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/LBCL,variance_comparison,complexity,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.large.B.cell.lymphoma,3000,6,11,3000,96.47,107.17,10.7,gained,0.99,NA,NA,NA,NA,1.35,1.54,0.18999999999999995,0,0,0,142.99,150.17,7.179999999999978,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/B-ALL,variance_comparison,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,3000,5,10,3000,80.91,118,37.09,gained,0.89,NA,NA,NA,NA,1.61,1.62,0.010000000000000009,0,0,0,109.38,172.73,63.349999999999994,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/T-ALL,variance_comparison,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,3000,5,10,3000,80.05,109.67,29.62,gained,0.9,NA,NA,NA,NA,1.63,1.62,-0.009999999999999787,0,0,0,104.82,153.46,48.640000000000015,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BLAD/TCC,variance_global,complexity,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3000,7,11,3000,95.57,104.93,9.36,gained,0.91,NA,NA,NA,NA,1.65,1.98,0.33000000000000007,0,0,0,135.72,124.81,-10.909999999999997,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,BR/BRAD,variance_global,complexity,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,3000,5,11,3000,92.98,92.41,-0.57,lost,1,NA,NA,NA,NA,1.6,2.75,1.15,0,0,0,132.36,98.19,-34.170000000000016,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,COL/COADREAD,variance_global,complexity,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,3000,11,11,3000,146.49,97.02,-49.47,lost,0.03,NA,NA,NA,NA,1.71,2,0.29000000000000004,0,0,0,249.81,119.55,-130.26,ok,0.44999999999999996
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,KID/RCC,variance_global,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,3000,12,11,3000,162.5,130.88,-31.62,lost,0.14,NA,NA,NA,NA,1.61,2.21,0.5999999999999999,0,0,0,296.51,183.75,-112.75999999999999,ok,0.7000000000000001
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,LU/LUAD,variance_global,complexity,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,3000,7,11,3000,94.72,102.9,8.18,gained,1,NA,NA,NA,NA,1.82,2.13,0.30999999999999983,0,0,0,118.06,126.27,8.209999999999994,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,OV/OVAD,variance_global,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,3000,4,11,3000,42.98,114.04,71.06,gained,0.14,NA,NA,NA,NA,1.41,2.04,0.6300000000000001,0,0,0,41.02,150.91,109.88999999999999,ok,0.7000000000000001
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PA/PAAD,variance_global,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,3000,10,10,3000,136.74,108.52,-28.22,lost,0.43,NA,NA,NA,NA,2.05,1.9,-0.1499999999999999,0,0,0,192.92,146.29,-46.629999999999995,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,PR/PRAD,variance_global,complexity,FULL,FULL,m_Prostate.normal,m_Prostate.prostate.adenocarcinoma,3000,9,10,3000,104.68,118.92,14.24,gained,0.41,NA,NA,NA,NA,1.62,1.89,0.2699999999999998,0,0,0,139.33,165.21,25.879999999999995,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,carcinomas,UT/EAC,variance_global,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,3000,6,10,3000,78.03,94.83,16.8,gained,0.89,NA,NA,NA,NA,1.72,1.98,0.26,0,0,0,93.66,121.13,27.47,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/GBM,variance_global,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,3000,8,10,3000,100.75,85.57,-15.18,lost,0.67,NA,NA,NA,NA,1.7,2.02,0.32000000000000006,0,0,0,135.54,98.33,-37.209999999999994,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,blastomas,Brain/MB,variance_global,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,3000,8,10,3000,101.16,95.87,-5.29,lost,0.89,NA,NA,NA,NA,1.72,2.16,0.44000000000000017,0,0,0,133.97,109.63,-24.340000000000003,ok,1
