source_file,analysis_scope,chip,group,comparison,filter_regime,engine,gene_set_mode,gene_set_name,matrix_key_normal,matrix_key_tumor,n_shared_probes,n_samples_normal,n_samples_tumor,n_features,kappa_normal,kappa_tumor,kappa_delta,direction,p_perm,ci_normal_low,ci_normal_high,ci_tumor_low,ci_tumor_high,effrank_normal,effrank_tumor,effrank_delta,sparsity_normal,sparsity_tumor,sparsity_delta,composite_kappa_normal,composite_kappa_tumor,composite_kappa_delta,status,p_perm_fdr
complexity_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/FL,variance_global,complexity,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.Follicular.lymphoma,3000,6,11,3000,95.11,107.11,12,gained,0.99,NA,NA,NA,NA,1.35,1.82,0.47,0,0,0,141.13,140.24,-0.8899999999999864,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,lymphomas,GC/LBCL,variance_global,complexity,FULL,FULL,m_Lymphoid.Tissue.normal,m_Lymphoid.Tissue.large.B.cell.lymphoma,3000,6,11,3000,96.47,107.17,10.7,gained,0.99,NA,NA,NA,NA,1.35,1.54,0.18999999999999995,0,0,0,142.99,150.17,7.179999999999978,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/B-ALL,variance_global,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,3000,5,10,3000,80.91,118,37.09,gained,0.89,NA,NA,NA,NA,1.61,1.62,0.010000000000000009,0,0,0,109.38,172.73,63.349999999999994,ok,1
complexity_results.rds,whole_filtered_chip,hu35ksuba,leukemias,PB/T-ALL,variance_global,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,3000,5,10,3000,80.05,109.67,29.62,gained,0.9,NA,NA,NA,NA,1.63,1.62,-0.009999999999999787,0,0,0,104.82,153.46,48.640000000000015,ok,1
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,BLAD/TCC,limma,complexity,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,399,7,11,399,113.21,103.15,-10.06,lost,0.88,NA,NA,NA,NA,1.53,1.93,0.3999999999999999,0,0,0,248.2,144.22,-103.97999999999999,ok,0.88
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,BR/BRAD,limma,complexity,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,1522,5,11,1522,76.16,144.76,68.6,gained,0.53,NA,NA,NA,NA,1.35,1.82,0.47,0,0,0,113.47,246.47,133,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,COL/COADREAD,limma,complexity,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,286,10,11,286,164.92,133.48,-31.44,lost,0.36,NA,NA,NA,NA,1.4,1.41,0.010000000000000009,0,0,0,332.13,268.38,-63.75,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,KID/RCC,limma,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,57,12,9,57,184.59,143.74,-40.85,lost,0.55,NA,NA,NA,NA,1.65,1.54,-0.10999999999999988,0,0,0,386.27,254.91,-131.35999999999999,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,LU/LUAD,limma,complexity,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,64,5,11,64,71.34,166.92,95.58,gained,0.51,NA,NA,NA,NA,1.41,1.88,0.47,0,0,0,91.29,346.13,254.83999999999997,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,OV/OVAD,limma,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,181,4,10,181,45.28,121.62,76.34,gained,0.35,NA,NA,NA,NA,1.33,1.52,0.18999999999999995,0,0,0,49.75,188.38,138.63,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PA/PAAD,limma,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,520,10,10,520,159.11,125.01,-34.1,lost,0.5,NA,NA,NA,NA,1.45,1.77,0.32000000000000006,0,0,0,263.02,194.34,-68.67999999999998,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,UT/EAC,limma,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,81,6,10,81,118.23,181.11,62.88,gained,0.46,NA,NA,NA,NA,1.38,1.43,0.050000000000000044,0,0,0,198.4,479.86,281.46000000000004,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/GBM,limma,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,716,8,10,716,157.86,123.93,-33.93,lost,0.66,NA,NA,NA,NA,1.43,1.52,0.09000000000000008,0,0,0,298.55,193.87,-104.68,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/MB,limma,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,650,8,10,650,150.44,101.33,-49.11,lost,0.39,NA,NA,NA,NA,1.61,1.59,-0.020000000000000018,0,0,0,294.88,148.23,-146.65,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/B-ALL,limma,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,1449,5,10,1449,90.79,153.79,63,gained,0.66,NA,NA,NA,NA,1.47,1.25,-0.21999999999999997,0,0,0,159.06,388.08,229.01999999999998,ok,0.792
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/T-ALL,limma,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,994,5,9,994,86.49,116.88,30.39,gained,0.81,NA,NA,NA,NA,1.48,1.24,-0.24,0,0,0,148.18,279.62,131.44,ok,0.88
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,BLAD/TCC,variance_comparison,complexity,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3000,7,11,3000,117.24,96.78,-20.46,lost,0.76,NA,NA,NA,NA,1.56,2.1,0.54,0,0,0,220.2,125.26,-94.93999999999998,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,BR/BRAD,variance_comparison,complexity,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,3000,5,11,3000,76.04,121.43,45.39,gained,0.85,NA,NA,NA,NA,1.35,1.99,0.6399999999999999,0,0,0,115.24,182.15,66.91000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,COL/COADREAD,variance_comparison,complexity,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,3000,10,11,3000,134.49,121.36,-13.13,lost,0.57,NA,NA,NA,NA,1.52,1.54,0.020000000000000018,0,0,0,257.5,226.56,-30.939999999999998,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,KID/RCC,variance_comparison,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,3000,12,9,3000,151.85,93.81,-58.04,lost,0.06,NA,NA,NA,NA,1.58,1.71,0.1299999999999999,0,0,0,296.95,129.05,-167.89999999999998,ok,0.78
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,LU/LUAD,variance_comparison,complexity,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,3000,5,11,3000,81.83,93.55,11.72,gained,1,NA,NA,NA,NA,1.26,1.97,0.71,0,0,0,130.65,129.27,-1.3799999999999955,ok,1
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,OV/OVAD,variance_comparison,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,3000,4,10,3000,43.55,106.26,62.71,gained,0.32,NA,NA,NA,NA,1.3,1.77,0.47,0,0,0,47.2,163.11,115.91000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PA/PAAD,variance_comparison,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,3000,10,10,3000,137.41,109.28,-28.13,lost,0.5,NA,NA,NA,NA,1.68,1.77,0.09000000000000008,0,0,0,228.37,178.59,-49.78,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PR/PRAD,variance_comparison,complexity,FULL,FULL,m_Prostate.normal,m_Prostate.prostate.adenocarcinoma,3000,7,8,3000,102.94,97.07,-5.87,lost,0.67,NA,NA,NA,NA,1.23,1.72,0.49,0,0,0,199.69,161.47,-38.22,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,UT/EAC,variance_comparison,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,3000,6,10,3000,88.78,115.04,26.26,gained,0.83,NA,NA,NA,NA,1.53,1.55,0.020000000000000018,0,0,0,130.81,206.52,75.71000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/GBM,variance_comparison,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,3000,8,10,3000,132.3,91.02,-41.28,lost,0.5,NA,NA,NA,NA,1.6,1.69,0.08999999999999986,0,0,0,232.44,124.46,-107.98,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/MB,variance_comparison,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,3000,8,10,3000,127.33,92.1,-35.23,lost,0.54,NA,NA,NA,NA,1.58,1.82,0.24,0,0,0,227.35,129.41,-97.94,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/B-ALL,variance_comparison,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,3000,5,10,3000,81.28,135.66,54.38,gained,0.72,NA,NA,NA,NA,1.57,1.4,-0.17000000000000015,0,0,0,121.15,278.85,157.70000000000002,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/T-ALL,variance_comparison,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,3000,5,9,3000,80.38,100.2,19.82,gained,0.92,NA,NA,NA,NA,1.59,1.43,-0.16000000000000014,0,0,0,117.82,173.17,55.349999999999994,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,BLAD/TCC,variance_global,complexity,FULL,FULL,m_Bladder.normal,m_Bladder.bladder.transitional.cell.carcinoma,3000,7,11,3000,117.24,96.78,-20.46,lost,0.76,NA,NA,NA,NA,1.56,2.1,0.54,0,0,0,220.2,125.26,-94.93999999999998,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,BR/BRAD,variance_global,complexity,FULL,FULL,m_Breast.normal,m_Breast.breast.adenocarcinoma,3000,5,11,3000,76.04,121.43,45.39,gained,0.85,NA,NA,NA,NA,1.35,1.99,0.6399999999999999,0,0,0,115.24,182.15,66.91000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,COL/COADREAD,variance_global,complexity,FULL,FULL,m_Colon.normal,m_Colon.colorectal.adenocarcinoma,3000,10,11,3000,134.49,121.36,-13.13,lost,0.57,NA,NA,NA,NA,1.52,1.54,0.020000000000000018,0,0,0,257.5,226.56,-30.939999999999998,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,KID/RCC,variance_global,complexity,FULL,FULL,m_Kidney.normal,m_Kidney.renal.cell.carcinoma,3000,12,9,3000,151.85,93.81,-58.04,lost,0.06,NA,NA,NA,NA,1.58,1.71,0.1299999999999999,0,0,0,296.95,129.05,-167.89999999999998,ok,0.78
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,LU/LUAD,variance_global,complexity,FULL,FULL,m_Lung.normal,m_Lung.lung.adenocarcinoma,3000,5,11,3000,81.83,93.55,11.72,gained,1,NA,NA,NA,NA,1.26,1.97,0.71,0,0,0,130.65,129.27,-1.3799999999999955,ok,1
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,OV/OVAD,variance_global,complexity,FULL,FULL,m_Ovary.normal,m_Ovary.ovarian.adenocarcinoma,3000,4,10,3000,43.55,106.26,62.71,gained,0.32,NA,NA,NA,NA,1.3,1.77,0.47,0,0,0,47.2,163.11,115.91000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PA/PAAD,variance_global,complexity,FULL,FULL,m_Pancreas.normal,m_Pancreas.pancreatic.adenocarcinoma,3000,10,10,3000,137.41,109.28,-28.13,lost,0.5,NA,NA,NA,NA,1.68,1.77,0.09000000000000008,0,0,0,228.37,178.59,-49.78,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,PR/PRAD,variance_global,complexity,FULL,FULL,m_Prostate.normal,m_Prostate.prostate.adenocarcinoma,3000,7,8,3000,102.94,97.07,-5.87,lost,0.67,NA,NA,NA,NA,1.23,1.72,0.49,0,0,0,199.69,161.47,-38.22,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,carcinomas,UT/EAC,variance_global,complexity,FULL,FULL,m_Uterus.normal,m_Uterus.uterine.adenocarcinoma,3000,6,10,3000,88.78,115.04,26.26,gained,0.83,NA,NA,NA,NA,1.53,1.55,0.020000000000000018,0,0,0,130.81,206.52,75.71000000000001,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/GBM,variance_global,complexity,FULL,FULL,m_Brain.normal,m_Brain.glioblastoma,3000,8,10,3000,132.3,91.02,-41.28,lost,0.5,NA,NA,NA,NA,1.6,1.69,0.08999999999999986,0,0,0,232.44,124.46,-107.98,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,blastomas,Brain/MB,variance_global,complexity,FULL,FULL,m_Brain.normal,m_Brain.medulloblastoma,3000,8,10,3000,127.33,92.1,-35.23,lost,0.54,NA,NA,NA,NA,1.58,1.82,0.24,0,0,0,227.35,129.41,-97.94,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/B-ALL,variance_global,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.B.cell.ALL,3000,5,10,3000,81.28,135.66,54.38,gained,0.72,NA,NA,NA,NA,1.57,1.4,-0.17000000000000015,0,0,0,121.15,278.85,157.70000000000002,ok,0.9966666666666666
complexity_results.rds,whole_filtered_chip,hu6800,leukemias,PB/T-ALL,variance_global,complexity,FULL,FULL,m_Blood.normal,m_Bone.Marrow.T.cell.ALL,3000,5,9,3000,80.38,100.2,19.82,gained,0.92,NA,NA,NA,NA,1.59,1.43,-0.16000000000000014,0,0,0,117.82,173.17,55.349999999999994,ok,0.9966666666666666
